Data;CasosDia
2023-11-22;12
2023-11-23;9
2023-11-24;11
2023-11-25;1
2023-11-26;0
2023-11-27;8
2023-11-28;10
2023-11-29;9
2023-11-30;9
2023-12-01;8
2023-12-02;2
2023-12-03;1
2023-12-04;5
2023-12-05;13
2023-12-06;5
2023-12-07;13
2023-12-08;4
2023-12-09;2
2023-12-10;1
2023-12-11;10
2023-12-12;2
2023-12-13;6
2023-12-14;4
2023-12-15;8
2023-12-16;3
2023-12-17;2
2023-12-18;0
2023-12-19;4
2023-12-20;8
2023-12-21;4
2023-12-22;7
2023-12-23;1
2023-12-24;0
2023-12-25;0
2023-12-26;3
2023-12-27;3
2023-12-28;6
2023-12-29;6
2023-12-30;1
2023-12-31;2
