Data;CasosDia;Temp. Ins. (C);Umi. Ins. (%);Chuva (mm);CasosDiasTarget
2023-06-02;2;17.666666666666668;87.625;4.453935660506502;2
2023-06-03;6;16.820833333333333;87.375;4.453935660506502;0
2023-06-04;6;15.3625;84.25;4.453935660506502;0
2023-06-05;4;15.608333333333334;82.375;4.453935660506502;3
2023-06-06;2;17.275000000000002;78.16666666666667;2.2;4
2023-06-07;2;15.545833333333334;78.5;4.453935660506502;7
2023-06-08;0;15.225;79.625;4.453935660506502;0
2023-06-09;0;17.208333333333332;75.91666666666667;4.453935660506502;2
2023-06-10;3;17.883333333333333;69.29166666666667;4.453935660506502;2
2023-06-11;4;15.945833333333333;75.29166666666667;4.453935660506502;0
2023-06-12;7;15.520833333333334;74.45833333333333;4.453935660506502;5
2023-06-13;0;16.658333333333335;73.04166666666667;4.453935660506502;2
2023-06-14;2;16.720833333333335;71.29166666666667;4.453935660506502;2
2023-06-15;2;17.9875;72.0;4.453935660506502;3
2023-06-16;0;17.075;83.66666666666667;15.6;3
2023-06-17;5;12.691666666666668;89.29166666666667;16.8;0
2023-06-18;2;10.745833333333332;88.95833333333333;4.4;0
2023-06-19;2;10.325;93.95833333333331;13.2;2
2023-06-20;3;8.704166666666667;93.95833333333331;3.0;0
2023-06-21;3;9.625;91.125;1.0;3
2023-06-22;0;10.425;86.29166666666667;0.6000000000000001;1
2023-06-23;0;9.791666666666666;79.54166666666667;4.453935660506502;1
2023-06-24;2;11.3875;79.33333333333333;4.453935660506502;0
2023-06-25;0;13.395833333333334;77.33333333333333;4.453935660506502;0
2023-06-26;3;14.754166666666668;82.04166666666667;0.7999999999999999;2
2023-06-27;1;15.816666666666668;86.16666666666667;8.6;3
2023-06-28;1;15.983333333333334;82.95833333333333;9.2;1
2023-06-29;0;17.529166666666665;75.0;4.453935660506502;1
2023-06-30;0;18.0125;75.54166666666667;4.453935660506502;1
2023-07-01;2;17.454166666666666;76.70833333333333;4.453935660506502;0
2023-07-02;3;16.599999999999998;76.08333333333333;4.453935660506502;1
2023-07-03;1;17.795833333333334;71.70833333333333;4.453935660506502;2
2023-07-04;1;17.995833333333334;70.04166666666667;4.453935660506502;0
2023-07-05;1;17.474999999999998;77.04166666666667;4.453935660506502;2
2023-07-06;0;18.3875;73.5;4.453935660506502;4
2023-07-07;1;17.195833333333333;75.25;4.453935660506502;1
2023-07-08;2;15.583333333333334;79.33333333333333;4.453935660506502;1
2023-07-09;0;14.733333333333333;78.58333333333333;4.453935660506502;0
2023-07-10;2;15.25;71.375;4.453935660506502;1
2023-07-11;4;16.583333333333332;71.375;4.453935660506502;2
2023-07-12;1;17.395833333333332;68.54166666666667;4.453935660506502;0
2023-07-13;1;16.908333333333335;81.625;15.0;0
2023-07-14;0;17.466666666666665;89.54166666666667;11.4;1
2023-07-15;1;17.170833333333334;92.29166666666669;35.0;1
2023-07-16;2;19.745833333333334;84.33333333333333;3.0;0
2023-07-17;0;19.820833333333333;76.79166666666667;13.8;2
2023-07-18;0;10.129166666666666;85.875;0.4;0
2023-07-19;1;8.704166666666667;78.79166666666667;0.2;0
2023-07-20;1;9.954166666666667;76.5;4.453935660506502;2
2023-07-21;0;14.3625;68.16666666666667;4.453935660506502;1
2023-07-22;2;15.120833333333332;77.25;6.2;0
2023-07-23;0;14.383333333333333;87.83333333333333;0.4;0
2023-07-24;0;15.054166666666667;87.79166666666667;4.453935660506502;1
2023-07-25;2;16.587500000000002;77.04166666666667;4.453935660506502;0
2023-07-26;1;18.258333333333333;76.33333333333333;4.453935660506502;1
2023-07-27;0;18.52083333333333;77.41666666666667;4.453935660506502;0
2023-07-28;0;18.945833333333333;70.75;4.453935660506502;4
2023-07-29;1;19.229166666666668;71.79166666666667;4.453935660506502;0
2023-07-30;0;19.841666666666665;64.54166666666667;4.453935660506502;0
2023-07-31;1;19.6375;63.625;4.453935660506502;3
2023-08-01;0;16.054166666666667;87.70833333333333;7.6;3
2023-08-02;4;16.0125;87.125;11.2;0
2023-08-03;0;17.416666666666668;81.66666666666667;4.453935660506502;1
2023-08-04;0;16.441666666666666;82.95833333333333;0.2;1
2023-08-05;3;18.445833333333333;75.0;4.453935660506502;0
2023-08-06;3;18.729166666666668;73.875;4.453935660506502;0
2023-08-07;0;18.45;69.33333333333333;4.453935660506502;4
2023-08-08;1;20.291666666666668;58.41666666666666;4.453935660506502;0
2023-08-09;1;20.9875;57.375;4.453935660506502;2
2023-08-10;0;20.2125;59.208333333333336;4.453935660506502;1
2023-08-11;0;19.666666666666668;60.04166666666666;4.453935660506502;1
2023-08-12;4;19.791666666666668;65.91666666666667;3.6;0
2023-08-13;0;15.920833333333334;86.625;5.8;0
2023-08-14;2;15.004166666666668;90.16666666666669;52.2;2
2023-08-15;1;19.308333333333334;75.91666666666667;4.453935660506502;1
2023-08-16;1;20.8125;70.16666666666667;4.453935660506502;2
2023-08-17;0;17.883333333333333;80.25;7.8;1
2023-08-18;0;14.816666666666668;71.5;4.453935660506502;1
2023-08-19;2;18.041666666666668;69.91666666666667;4.453935660506502;0
2023-08-20;1;19.70833333333333;71.875;4.453935660506502;0
2023-08-21;2;20.341666666666665;65.66666666666667;4.453935660506502;2
2023-08-22;1;21.6375;63.583333333333336;4.453935660506502;2
2023-08-23;1;18.275;66.95833333333333;14.8;1
2023-08-24;0;14.108333333333334;80.58333333333333;0.8;2
